"Cursos","Total Repitencias"
"METODOLOGÍA DE LA INVESTIGACIÓN CIENTIFICA EN EDUCACIÓN FISICA II","12"
"METODOLOGÍA DE LA INVESTIGACIÓN CUALITATIVA","1"
"METODOLOGÍA DE LA INVESTIGACIÓN ECONÓMICA","17"
"METODOLOGIA DE LA INVESTIGACIÓN EN CIENCIA POLÍTICA II (METODOLOGÍA CUALITATIVA)","9"
"METODOLOGIA DE LA INVESTIGACIÓN EN CIENCIA POLÍTICA III (METODOLOGÍA CUANTITATIVA)","6"
"METODOLOGÍA DE LA INVESTIGACIÓN EN CIENCIAS DE LA INFORMACIÓN","1"
"METODOLOGIA DE LA INVESTIGACION LITERARIA","6"
"METODOLOGÍA DE LA INVESTIGACIÓN VETERINARIA","1"
"METODOLOGIA DEL TRABAJO EN FISICA","1"
"METODOLOGIA DEL TRABAJO INTELECTUAL","2"
"METODOLOGÍA DEL TRABAJO INTELECTUAL","4"
"METODOLOGÍA DEL TRABAJO SOCIAL I","2"
"METODOLOGÍA DEL TRABAJO SOCIAL II","2"
"METODOLOGÍA PARA LA ELABORACIÓN DE TESIS","8"
"MÉTODOS CUANTITATIVOS","15"
"METODOS CUANTITATIVOS Y BIBLIOMETRIA","1"
"MÉTODOS DE ESTUDIO UNIVERSITARIO","190"
"MÉTODOS DE EVALUACIÓN DE FAUNA","2"
"METODOS DE INVESTIGACION CIENTIFICA","3"
"METODOS DE INVESTIGACION CUALITATIVA","4"
"MÉTODOS DE INVESTIGACIÓN CUALITATIVA","1"
"MÉTODOS DE INVESTIGACIÓN SOCIOLÓGICA","12"
"MÉTODOS DE OBSERVACIÓN EN TRABAJO DE CAMPO Y LABORATORIO","1"
"MÉTODOS DE REEDUCACIÓN EN NEUROPEDIATRÍA","1"
"METODOS DE REEDUCACION NEUROLOGICA EN ADULTOS","9"
"MÉTODOS DE REEDUCACIÓN NEUROLÓGICA EN ADULTOS","5"
"MÉTODOS EN ARQUEOLOGÍA I","7"
"MÉTODOS EN ARQUEOLOGÍA II","3"
"MÉTODOS ESTADÍSTICOS PARA LA INVESTIGACIÓN","4"
"MÉTODOS FORMALES PARA PRUEBAS","1"
"METODOS NUMERICOS","66"
"MÉTODOS NUMERICOS","4"
"MÉTODOS NUMÉRICOS","35"
"METODOS NUMÉRICOS I","13"
"METODOS NUMERICOS II","3"
"MÉTODOS NUMÉRICOS Y PROGRAMACIÓN I","7"
"MÉTODOS NUMÉRICOS Y PROGRAMACIÓN II","8"
"METODOS NUMÉRICOS Y PROGRAMACIÓN III","2"
"MÉTODOS NUMÉRICOS Y PROGRAMACIÓN III","5"
"METODOS NUMÉRICOS Y PROGRAMACIÓN IV","3"
"MÉTODOS Y TÉCNICAS CUANTITATIVAS EN GEOGRAFÍA","1"
"MÉTODOS Y TÉCNICAS DE INVESTIGACIÓN GEOGRÁFICA","4"
"MÉTODOS Y TÉCNICAS DE LA INVESTIGACIÓN CIENTIFICA","3"
"MÉTODOS Y TÉCNICAS DE TRABAJO DE CAMPO EN LINGÜÍSTICA","1"
"METOLOGIA DE LA INVESTIGACIÓN EN CIENCIA POLÍTICA I","8"
"METRADOS Y PRESUPUESTOS","2"
"METROLOGÍA Y ANÁLISIS INSTRUMENTAL","3"
"MICOLOGÍA","1"
"MICRO/ NANO SISTEMAS ELECTRÓNICOS","34"
"MICROBIOLOGÍA","2"
"MICROBIOLOGIA APLICADA","6"
"MICROBIOLOGÍA DE LOS ALIMENTOS","3"
"MICROBIOLOGIA GENERAL","30"
"MICROBIOLOGÍA GENERAL","12"
"MICROBIOLOGÍA GENERAL Y APLICADA","2"
"MICROBIOLOGÍA INDUSTRIAL","1"
"MICROBIOLOGIA TOXICOLÓGICA","1"
"MICROBIOLOGÍA TOXICOLÓGICA","1"
"MICROBIOLOGÍA Y PARASITOLOGÍA","1"
"MICROECONOMIA","16"
"MICROECONOMÍA","11"
"MICROECONOMÍA I","34"
"MICROECONOMÍA II","47"
"MICROECONOMÍA III","78"
"MICROELECTRONICA","5"
"MICROSCOPIA DE MINERALES OPACOS","2"
"MICROSCOPÍA Y FOTOGRAFÍA CIENTÍFICA","4"
"MICROTÉCNICAS EN PLANTAS","1"
"MINADO SUBTERRÁNEO II","3"
"MINADO SUPERFICIAL","5"
"MINERALES NO METÁLICOS","3"
"MINERALOGÍA","18"
"MINERALOGIA II","1"
"MINERALOGÍA OPTICA","5"
"MINERÍA DE DATOS","1"
"MINERÍA DE NO METÁLICOS","2"
"MINORÍAS ÉTNICAS EN EL PERU","3"
"MITOLOGIA ANDINA","5"
"MODA Y ARTE DE VESTIR","1"
"MODELACION Y SIMULACION DE SISTEMAS","17"
"MODELACIÓN Y SIMULACIÓN DE SISTEMAS","17"
"MODELAMIENTO AMBIENTAL","6"
"MODELAMIENTO PARA LA ECOLOGIA","1"
"MODELO MATEMÁTICO DE LA CIENCIA I","1"
"MODELO MATEMATICO DE LA CIENCIA II","1"
"MODELO MATEMATICO DE LA CIENCIA III","1"
"MODELOS DE INTERVENCIÓN CON BASE EN NEUROCIENCIAS","1"
"MODELOS DE TRANSPORTE","7"
"MODELOS DETERMINISTICOS EN I.O. II","1"
"MODELOS DETERMINÍSTICOS EN INVESTIGACIÓN OPERATIVA I","7"
"MODELOS DETERMINÍSTICOS EN INVESTIGACIÓN OPERATIVA II","2"
"MODELOS ECONOMETRICOS","1"
"MODELOS LINEALES","2"
"MODELOS MATEMÁTICOS DE LA CIENCIA IV","1"
"MODELOS MATEMÁTICOS DE LA FÍSICA","12"
"MODELOS MATEMATICOS DE MERCADOTECNIA","1"
"MODELOS PROBABILÍSTICOS","6"
"MODELOS PROBABILÍSTICOS EN INVESTIGACIÓN OPERATIVA I","2"
"MODELOS Y SIMULACIÓN","45"
"MODERNIDAD Y POST MODERNIDAD","8"
"MODIFICACION DE CONDUCTA EN EL AULA Y EL HOGAR","3"
"MONOCOTILEDÓNEAS","2"
"MONOGENEOS, TREMÁTODOS Y CESTODOS PARÁSITOS","3"
"MORFOLOGÍA","3"
"MORFOLOGÍA COMPARADA DE CORDADOS","3"
"MORFOSINTAXIS","5"
"MOTIVACION Y ACTITUDES PSICOSOCIALES","4"
"MOTIVACIONES Y ACTITUDES PSICOSOCIALES","1"
"MOVIMIENTOS INDIGENAS EN AMÉRICA LATINA","3"
"MOVIMIENTOS INDÍGENAS EN AMÉRICA LATINA","1"
"MUESTREO","1"
"MULTIMEDIOS Y EDUCACIÓN","4"
"MUSEOLOGIA","1"
"MUSEOLOGÍA Y MUSEOGRAFÍA","11"
"MÚSICA Y DANZA APLICADAS A LA EDUCACIÓN INFANTIL","1"
"MUSICA Y DANZAS TRADICIONALES DEL PERU","1"
"NARRACIÓN Y FICCIÓN","2"
"NEGOCIACIÓN EMPRESARIAL","1"
"NEGOCIOS INTERNACIONALES","1"
"NEMÁTODOS Y ACANTOCÉFALOS PARÁSITOS","3"
"NEONATOLOGIA","1"
"NEONATOLOGÍA BÁSICA","2"
"NEUROANATOMÍA FUNCIONAL","3"
"NEUROCIENCIA APLICADA A LA EDUCACIÓN FÍSICA","21"
"NEURODESARROLLO Y ESTIMULACIÓN TEMPRANA","2"
"NEUROFISIOLOGÍA DEL APRENDIZAJE","1"
"NEUROMARKETING","1"
"NEUROPSICOLOGIA","3"
"NEUROPSICOLOGÍA DE LA OCUPACIÓN HUMANA","2"
"NEUROPSICOLOGÍA DEL APRENDIZAJE","5"
"NEUROPSICOLOGÍA I","1"
"NIC Y NIIF CON INCIDENCIA TRIBUTARIA","4"
"NOMENCLATURA ZOOLOGICA","2"
"NORMAS CONTABLES DEL SECTOR PUBLICO","2"
"NORMAS INTERNACIONALES DE INFORMACIÓN FINANCIERA","2"
"NUEVAS ESTRATEGIAS PARA LA ENSEÑANZA DE LA MATEMÁTICA","3"
"NUEVO PERIODISMO","2"
"NUTRICIÓN ANIMAL","1"
"NUTRICIÓN Y ALIMENTACIÓN EN ESTADOS PATOLÓGICOS I","1"
"NUTRICIÓN Y ALIMENTACIÓN I","1"
"NUTRICIÓN Y ALIMENTACIÓN II","1"
"NUTRICIÓN Y QUÍMICA DE LOS ALIMENTOS","3"
"NUTRICIÓN, ACTIVIDAD FÍSICA Y DEPORTE","1"
"OBJETO Y MÉTODOS DE LAS CIENCIAS SOCIALES I (ECONOMÍA - POLITOLOGIA)","1"
"OBJETO Y MÉTODOS DE LAS CIENCIAS SOCIALES II (SOCIOLOGIA - ANTROPOLOGIA SOCIO CULTURAL)","3"
"OBSTETRICIA I","3"
"OBSTETRICIA II E IDENTIFICACIÓN DEL RECIÉN NACIDO","4"
"OBSTETRICIA III","3"
"OCEANOGRAFÍA","3"
"OCEANOGRAFIA Y LIMNOLOGIA","1"
"ODONTOLOGIA ETICA Y DEONTOLOGIA","2"
"ODONTOPEDIATRIA","1"
"ONTOLOGIA","3"
"OPERACIONES BANCARIAS","1"
"OPERACIONES DE FLUJO DE FLUIDOS","8"
"OPERACIONES DE SEPARACIÓN BASADAS EN TRANSFERENCIA DE MASA I","1"
"OPERACIONES DE SEPARACIÓN BASADAS EN TRANSFERENCIA DE MASA II","4"
"OPERACIONES DE TRANSFERENCIA DE CALOR","5"
"OPERACIONES UNITARIAS AGROINDUSTRIALES III","1"
"OPERACIONES Y PROCESOS","5"
"OPERACIONES Y PROCESOS METALURGICOS II","2"
"OPERACIONES Y PROCESOS METALÚRGICOS III","5"
"OPERACIONES Y PROCESOS UNITARIOS","31"
"OPINION PUBLICA","2"
"OPINIÓN PÚBLICA","6"
"ÓPTICA","8"
"OPTICA FISICA","1"
"ÓPTICA Y FÍSICA MODERNA","9"
"OPTIMIZACION","1"
"OPTIMIZACIÓN","3"
"OPTIMIZACIÓN DINAMICA Y CONVEXA","1"
"OPTIMIZACIÓN EN INGENIERÍA QUÍMICA","4"
"ORALIDAD Y ESCRITURA","6"
"ORATORIA I","13"
"ORATORIA II","4"
"ORDENAMIENTO TERRITORIAL","6"
"ORDENAMIENTO Y DEMARCACIÓN TERRITORIAL","1"
"ORGANISMOS INTERNACIONALES","9"
"ORGANIZACIÓN DE CONGRESOS Y EVENTOS","4"
"ORGANIZACIÓN DE LA INFORMACIÓN I","2"
"ORGANIZACIÓN DE LA INFORMACIÓN II","5"
"ORGANIZACIÓN DE LOS SECTORES Y MATERIAL EDUCATIVO","1"
"ORGANIZACIÓN INDUSTRIAL","7"
"ORGANIZACIÓN Y ADMINISTRACIÓN","9"
"ORGANIZACIONES Y MOVIMIENTOS SOCIALES EN EL PERÚ","1"
"ORIENTACIÓN DEL EDUCANDO","7"
"ORIENTACIÓN SEXUAL EN NIÑOS Y ADOLESCENTES","1"
"ORIENTACION Y CONSEJERIA PSICOLOGICA","3"
"ORIENTACIÓN Y CONSEJO PSICOLÓGICO","2"
"ORTODONCIA","1"
"ORTOPEDIA VETERINARIA","1"
"PAISAJE CULTURAL Y TERRITORIO. CIENCIA Y TECNOLOGÍAS ANCESTRALES","4"
"PAISAJES Y ASENTAMIENTOS HUMANOS","4"
"PALEOGRAFÍA","5"
"PALEOGRAFIA I","8"
"PALEOGRAFIA II","1"
"PALEONTOLOGÍA","1"
"PALEONTOLOGÍA GENERAL","27"
"PARASITOLOGIA","3"
"PARASITOLOGÍA","1"
"PARASITOLOGÍA VETERINARIA","5"
"PARASITOLOGÍA Y MICROBIOLOGÍA","7"
"PARÁSITOS DE FAUNA SILVESTRE","1"
"PARENTESCO Y ORGANIZACIÓN SOCIAL","9"
"PARTICIPACIÓN EN  TALLERES O CONFERENCIAS","2"
"PARTICIPACIÓN EN ACTIVIDADES DE RESPONSABILIDAD SOCIAL","1"
"PARTIDOS POLITICOS","8"
"PATOLOGIA ESTOMATOLOGICA","1"
"PATOLOGIA GENERAL","1"
"PATOLOGÍA GENERAL","5"
"PATOLOGÍA VETERINARIA GENERAL","1"
"PATOLOGÍA VETERINARIA SISTEMICA","3"
"PATRIMONIO CULTURAL","1"
"PATRIMONIO HISTÓRICO","1"
"PATRONES DE CONSTRUCCIÓN DE SISTEMAS","3"
"PATRONES DE DISEÑO","9"
"PEDAGOGÍA","4"
"PEDAGOGÍA GENERAL Y DE LA EDUCACIÓN FÍSICA I","2"
"PEDAGOGÍA Y DIDÁCTICA DE LA EDUCACIÓN FÍSICA","16"
"PEDAGOGÍA Y DIDÁCTICA GENERAL","3"
"PENSAMIENTO ANTROPOLÓGICO LATINOAMERICANO","5"
"PENSAMIENTO ARQUEOLÓGICO","2"
"PENSAMIENTO HISTÓRICO DE LA ÉPOCA CLÁSICA AL ROMANTICISMO","3"
"PENSAMIENTO POLITICO PERUANO Y LATINOAMERICANO","9"
"PENSAR SOCIOLOGICAMENTE","7"
"PERFORACIÓN Y VOLADURA I","3"
"PERFORACIÓN Y VOLADURA II","1"
"PERIODISMO DE INVESTIGACIÓN","2"
"PERIODISMO DE OPINIÓN","2"
"PERIODISMO RADIAL II","1"
"PERIODONCIA IV","1"
"PERITAJE CONTABLE","31"
"PERSPECTIVAS DE GÉNERO","2"
"PERÚ BAJO LOS AUSTRIAS (XVI Y XVII)","4"
"PERÚ CONTEMPORÁNEO (1930 HASTA LA ACTUALIDAD)","2"
"PERÚ DE LOS BORBONES E INDEPENDENCIA (1700-1826)","9"
"PERÚ EN EL CAMBIO SOCIAL EN AMÉRICA LATINA","9"
"PERÚ PREHISPÁNICO","6"
"PERÚ REPUBLICANO (1826-1930)","3"
"PETROLOGÍA","3"
"PETROLOGÍA ÍGNEA","11"
"PIROMETALURGIA","2"
"PLAN DE NEGOCIOS","2"
"PLANCTON MARINO","1"
"PLANEACIÓN DE LA DEMANDA Y PRONÓSTICOS","2"
"PLANEACION Y DISEÑO DE PLANTA","1"
"PLANEAMIENTO DE RECURSOS EMPRESARIALES","1"
"PLANEAMIENTO ESTRATÉGICO","29"
"PLANEAMIENTO ESTRATÉGICO EN EL SECTOR PÚBLICO","7"
"PLANEAMIENTO ESTRATÉGICO Y PROSPECTIVA","2"
"PLANEAMIENTO TRIBUTARIO","4"
"PLANEAMIENTO Y CONTROL DE OPERACIONES","2"
"PLANEAMIENTO Y CONTROL DE OPERACIONES MINERAS","12"
"PLANEAMIENTO, PROGRAMACION Y CONTROL","18"
"PLANEAMIENTO, PROGRAMACION Y CONTROL DE OPERACIONES","5"
"PLANES TÉCNICOS FUNDAMENTALES","1"
"PLANES Y PROGRAMAS DE SEGURIDAD","1"
"PLANIFICACIÓN CURRICULAR","1"
"PLANIFICACIÓN EDUCACIONAL","1"
"PLANIFICACIÓN EN NUTRICIÓN Y ALIMENTACIÓN","3"
"PLANIFICACIÓN EN TRABAJO SOCIAL","2"
"PLANIFICACIÓN FÍSICA Y RECURSOS NATURALES","1"
"PLANIFICACIÓN PARA EL DESARROLLO","1"
"PLANIFICACIÓN RURAL","1"
"PLANIFICACIÓN SOCIAL","5"
"PLANIFICACIÓN TERRITORIAL","1"
"PLANIFICACIÓN URBANA","6"
"PLANIFICACION Y OPERACION  DE SISTEMA DE POTENCIA","3"
"PLANIFICACIÓN Y OPERACION DE SISTEMA DE POTENCIA","3"
"PLANIFICACIÓN Y ORDENAMIENTO DEL TERRITORIO","2"
"POLEOMOLOGIA","4"
"POLITICA COMPARADA","6"
"POLÍTICA ECONÓMICA","2"
"POLÍTICA ECONÓMICA INTERNACIONAL","1"
"POLITICA INTERNACIONAL","11"
"POLÍTICA INTERNACIONAL","2"
"POLÍTICA SOCIAL","6"
"POLÍTICA SOCIAL EN EL PERÚ","2"
"POLITICA Y PLANIFICACION LINGUISTICAS","4"
"POLÍTICAS  Y  PLANEAMIENTO  DE  LA EDUCACIÓN","2"
"POLÍTICAS DE INFORMACIÓN","9"
"POLÍTICAS MINERAS","3"
"POLÍTICAS PÚBLICAS","2"
"POLÍTICAS PÚBLICAS E INTERCULTURALIDAD","8"
"POLITICAS PUBLICAS I (ANÁLISIS Y DISEÑO)","4"
"POLITICAS PUBLICAS II (IMPLEMENTACIÓN Y EVALUACIÓN)","1"
"POLÍTICAS Y NEGOCIACIONES INTERNACIONALES","5"
"POSTCOSECHA","1"
"PR. EN MANEJO DE CUYES","3"
"PRÁCTICA DE DIDÁCTICA DE LA FÍSICA I","2"
"PRÁCTICA DE DIDÁCTICA DE LA FÍSICA II","5"
"PRÁCTICA DE DIDÁCTICA DE LA MATEMÁTICA I","4"
"PRÁCTICA DE DIDÁCTICA DE LA MATEMÁTICA II","2"
"PRACTICA EN ANIMALES DOMESTICOS","3"
"PRACTICA EN ANIMALES SILVESTRES","10"
"PRACTICA EN BACTERIOLOGÍA Y MICOLOGIA VETERINARIA","3"
"PRACTICA EN BIOLOGIA MOLECULAR","9"
"PRACTICA EN DIAGNOSTICO BACTERIOLOGICO","3"
"PRACTICA EN DIAGNOSTICO PARASITOLOGICO","1"
"PRACTICA EN DIAGNOSTICO VIROLOGICO","1"
"PRACTICA EN ENFERMERIA VETERINARIA EN ANIMALES MENORES","2"
"PRACTICA EN MANEJO DE ANIMALES","2"
"PRACTICA EN PARASITOLOGÍA VETERINARIA","1"
"PRACTICA EN PRINCIPIOS DEL EXAMEN FÍSICO","9"
"PRACTICA EN PRODUCCION AVICOLA","2"
"PRACTICA EN PRODUCCION AVICOLA - CODORNICES","1"
"PRACTICA EN PRODUCCION AVICOLA - PATOS","1"
"PRACTICA EN PRODUCCION AVICOLA - PAVOS","1"
"PRACTICA EN SELECCION Y MEJORAMIENTO ANIMAL","1"
"PRACTICA EN VIROLOGIA VETERINARIA","4"
"PRÁCTICA ESTOMATOLÓGICA COMUNITARIA I","2"
"PRÁCTICA INTENSIVA EN TRABAJO SOCIAL","1"
"PRACTICA PRE PROFESIONAL","2"
"PRÁCTICA PRE PROFESIONAL","6"
"PRÁCTICA PRE PROFESIONAL I","13"
"PRÁCTICA PRE PROFESIONAL I DOCUMENTARIA Y ADMINISTRATIVA","11"
"PRACTICA PRE PROFESIONAL II","9"
"PRÁCTICA PRE PROFESIONAL II","1"
"PRÁCTICA PRE PROFESIONAL II. DE OBSERVACIÓN DIRIGIDA","7"
"PRÁCTICA PRE PROFESIONAL III","5"
"PRÁCTICA PRE PROFESIONAL III. DISCONTINUA EN INICIAL Y PRIMARIA","3"
"PRÁCTICA PRE PROFESIONAL IV","12"
"PRÁCTICA PRE PROFESIONAL IV. DISCONTINUA EN SECUNDARIA","1"
"PRÁCTICA PRE PROFESIONAL MÓDULO I","1"
"PRÁCTICA PRE PROFESIONAL V","3"
"PRÁCTICA PRE PROFESIONAL V. CONTINUA EN PRIMARIA Y PROYECCIÓN A LA COMUNIDAD","2"
"PRÁCTICA PRE PROFESIONAL VI. CONTINUA EN SECUNDARIA Y PROYECTOS DE INVESTIGACIÓN","2"
"PRACTICA PRE-PROFESIONAL","14"
"PRÁCTICA PRE-PROFESIONAL","2"
"PRÁCTICA PRE-PROFESIONAL II","2"
"PRÁCTICA PREPROFESIONAL III","3"
"PRÁCTICA PRE-PROFESIONAL III","1"
"PRÁCTICA PREPROFESIONAL IV","2"
"PRÁCTICA PRE-PROFESIONAL IV","1"
"PRÁCTICA PREPROFESIONAL V","2"
"PRÁCTICA PRE-PROFESIONAL V","2"
"PRÁCTICA PREPROFESIONAL VI","2"
"PRÁCTICA PROFESIONAL : LITERATURA","1"
"PRÁCTICA PROFESIONAL I","4"
"PRÁCTICA PROFESIONAL II","3"
"PRÁCTICA PROFESIONAL III","1"
"PRÁCTICA PROFESIONAL III (MATEMÁTICA I)","2"
"PRÁCTICA PROFESIONAL IV","3"
"PRÁCTICA PROFESIONAL IV (TUTORIA)","1"
"PRÁCTICA PROFESIONAL V","3"
"PRÁCTICA PROFESIONAL V (COMUNICACION)","2"
"PRÁCTICA PROFESIONAL V (FISICA I)","2"
"PRÁCTICA PROFESIONAL VI","3"
"PRÁCTICA PROFESIONAL VI (DIDÁCTICA DE LA GEOGRAFIA HISTORIA Y LAS CC.SS II)","1"
"PRÁCTICA PROFESIONAL VI (FISICA II)","4"
"PRÁCTICA PROFESIONAL: ADMINISTRACIÓN","1"
"PRÁCTICAS DEL BUEN GOBIERNO CORPORATIVO","4"
"PRACTICAS PRE PROFESIONAL","9"
"PRACTICAS PRE PROFESIONALES","2"
"PRÁCTICAS PRE PROFESIONALES","31"
"PRÁCTICAS PRE PROFESIONALES (0004)","3"
"PRACTICAS PRE PROFESIONALES EN HIDROBIOLOGIA Y PESQUERIA","2"
"PRACTICAS PRE PROFESIONALES EN NUTRICION CLINICA Y SERVICIO DE ALIMENTACION COLECTIVA","4"
"PRACTICAS PRE PROFESIONALES I","1"
"PRACTICAS PRE PROFESIONALES II","34"
"PRÁCTICAS PREPARATORIAS EN LOS ÁMBITOS LABORALES DE LA PSICOLOGIA","1"
"PRÁCTICAS PREPROFESIONALES","1"
"PRÁCTICAS PRE-PROFESIONALES","23"
"PRÁCTICAS PRE-PROFESIONALES (0005)","4"
"PRÁCTICAS PRE-PROFESIONALES EN HIDROBIOLOGÍA Y PESQUERÍA","1"
"PRÁCTICAS PRE-PROFESIONALES EN PSICOLOGÍA","36"
"PRÁCTICAS PRE-PROFESIONALES EN ZOOLOGÍA","1"
"PRACTICAS PREPROFESIONALES I","1"
"PRÁCTICAS PREPROFESIONALES I","5"
"PRÁCTICAS PRE-PROFESIONALES I","7"
"PRÁCTICAS PREPROFESIONALES II","3"
"PRÁCTICAS PRE-PROFESIONALES II","5"
"PRÁCTICAS PRE-PROFESIONALES III","2"
"PRE CLINICA DEL NIÑO Y DEL ADOLESCENTE","1"
"PREPARACIÓN MECANICA DE MINERALES","1"
"PREPARACIÓN MECÁNICA Y CONCENTRACIÓN DE MINERALES","8"
"PRESUPUESTO DEL SECTOR PUBLICO","15"
"PRESUPUESTO DEL SECTOR PÚBLICO","3"
"PRIMEROS AUXILIOS","13"
"PRINCIPIOS DE CONTROL DE PLAGAS","1"
"PRINCIPIOS DE ECONOMIA","2"
"PRINCIPIOS Y PROCESOS DE LA ADMINISTRACIÓN","1"
"PROBABILIDAD","3"
"PROBABILIDAD E INFERENCIA ESTADÍSTICA","1"
"PROBABILIDAD Y ESTADISTICA","3"
"PROBABILIDAD Y ESTADÍSTICA","8"
"PROBABILIDADES","11"
"PROBABILIDADES Y ESTADISTICA","20"
"PROBABILIDADES Y ESTADÍSTICA","8"
"PROBABILIDADES Y MUESTERO","13"
"PROBLEMAS DE APRENDIZAJE DE LA LECTURA, ESCRITURA Y CÁLCULO.","1"
"PROBLEMAS SOCIOLÓGICOS DEL PERÚ","1"
"PROBLEMÁTICA SOCIAL RURAL","1"
"PROBLEMÁTICA SOCIO-CULTURAL Y ECONÓMICA DEL PERÚ","6"
"PROCARIONTES Y EUCARIONTES  FOTOSINTÉTICOS","4"
"PROCARIONTES Y PROTISTOS FOTOSINTÉTICOS","2"
"PROCESAMIENTO DE FRUTAS Y VEGETALES","1"
"PROCESAMIENTO DIGITAL","6"
"PROCESAMIENTO DIGITAL DE IMÁGENES","3"
"PROCESAMIENTO DIGITAL DE SEÑALES","16"
"PROCESO CULTURAL ANDINO","28"
"PROCESO DE CONFECCIONES","1"
"PROCESO HISTÓRICO CULTURAL DEL PERÚ","139"
"PROCESOS ADMINISTRATIVOS","10"
"PROCESOS COGNITIVOS I","3"
"PROCESOS COGNITIVOS II","5"
"PROCESOS COGNITIVOS SUPERIORES","2"
"PROCESOS DE MANUFACTURA","39"
"PROCESOS DE NEGOCIOS","16"
"PROCESOS DE SOFTWARE","5"
"PROCESOS ESTOCASTICOS","1"
"PROCESOS ESTOCÁSTICOS","8"
"PROCESOS INDUSTRIALES","1"
"PROCESOS QUIMICOS INDUSTRIALES","1"
"PROCESOS SOCIALES Y POLÍTICOS EN AMÉRICA LATINA","2"
"PRODUCCIÓN DE MAMIFEROS MONOGASTRICOS","1"
"PRODUCCION ESBELTA","3"
"PRODUCCION Y ENFERMEDADES DE EQUIDOS","1"
"PRODUCCION Y ENFERMEDADES DE PORCINOS","4"
"PRODUCTOS NATURALES","2"
"PROGRAMACIÓN","3"
"PROGRAMACION AVANZADA","1"
"PROGRAMACIÓN AVANZADA","2"
"PROGRAMACIÓN CONCURRENTE Y PARALELA","14"
"PROGRAMACIÓN DE COMPUTADORAS","16"
"PROGRAMACION DE COMPUTADORAS I","1"
"PROGRAMACIÓN DE COMPUTADORAS I","9"
"PROGRAMACIÒN DE COMPUTADORAS II","2"
"PROGRAMACIÓN DE COMPUTADORAS III","5"
"PROGRAMACION DE PROYECTOS POLITICOS","12"
"PROGRAMACIÓN DINÁMICA","1"
"PROGRAMACIÓN LINEAL","1"
"PROGRAMACIÓN LINEAL Y ENTERA","4"
"PROGRAMACION MATEMATICA","3"
"PROGRAMACION NO LINEAL","1"
"PROGRAMACIÓN ORIENTADA A OBJETOS","16"
"PROGRAMACIÓN PARALELA","13"
"PROGRAMACIÓN Y COMPUTACIÓN","278"
"PROGRAMACIÓN Y EVALUACIÓN CURRICULAR EN EDUCACIÓN INICIAL","1"
"PROGRAMACIÓN Y EVALUACIÓN CURRICULAR EN EDUCACIÓN PRIMARIA","2"
"PROGRAMACIÓN Y FUNDAMENTOS DE ALGORÍTMICA","52"
"PROGRAMACIÓN Y MÉTODOS NUMÉRICOS","2"
"PROGRAMACIÓN Y SOFTWARE TEXTIL","2"
"PROGRAMAS ALTERNATIVOS DE EDUCACIÓN INICIAL","1"
"PROGRAMAS INFORMATICOS APLICADOS A LA INVESTIGACIÓN","1"
"PROMOCIÓN CULTURAL","8"
"PROMOCIÓN SOCIAL","4"
"PROMOCIÓN Y ANIMACIÓN A LA LECTURA","1"
"PROPAGACION DE ONDAS","1"
"PROPIEDAD INTELECTUAL Y PATENTES","3"
"PROPÓSITOS Y FUNDAMENTOS DE LA EDUCACIÓN PRIMARIA","1"
"PROSPECCIÓN GEOQUIMICA","4"
"PROSPECTIVA, INNOVACIÓN Y CREATIVIDAD EMPRESARIAL","2"
"PROTECCION AL CONSUMIDOR","4"
"PROTECCION DE SISTEMA DE POTENCIA","1"
"PROTECCION DE SISTEMAS DE POTENCIA","3"
"PROTECCIÓN RADIOLÓGICA Y RADIOBIOLOGÍA","3"
"PROTOCORDADOS Y VERTEBRADOS ANAMNIOTAS","1"
"PROTOZOARIOS PARÁSITOS","2"
"PROTOZOOLOGÍA","2"
"PROYECTO DE INVERSIÓN I","10"
"PROYECTO DE INVERSIÓN II","2"
"PROYECTO DE INVESTIGACION","1"
"PROYECTO DE INVESTIGACIÓN","7"
"PROYECTO DE TESIS","13"
"PROYECTO DE TESIS I","33"
"PROYECTO DE TESIS II","13"
"PROYECTODE TESIS II","3"
"PROYECTOS DE INVERSION","29"
"PROYECTOS DE INVERSIÓN","7"
"PROYECTOS DE TESIS","11"
"PROYECTOS EDUCATIVO COMUNALES","7"
"PROYECTOS EDUCATIVOS Y DESARROLLO SUSTENTABLE","4"
"PROYECTOS EMPRESARIALES PERIODÍSTICOS","3"
"PROYECTOS MINEROS","1"
"PSICOANÁLISIS Y  LITERATURA","3"
"PSICODIAGNOSTICO DE RORSCHACH","6"
"PSICOFISIOLOGIA","7"
"PSICOLINGÜÍSTICA Y SOCIOLINGÜÍSTICA","2"
"PSICOLOGIA CLINICA Y DE LA SALUD","8"
"PSICOLOGÍA COMUNITARIA","7"
"PSICOLOGÍA DE  LA COMUNICACIÓN","1"
"PSICOLOGÍA DE LA EDUCACIÓN FÍSICA Y EL DEPORTE","3"
"PSICOLOGÍA DE LA INTELIGENCIA","2"
"PSICOLOGÍA DE LA PERSONALIDAD","1"
"PSICOLOGIA DE LA SEXUALIDAD","5"
"PSICOLOGIA DEL APRENDIZAJE","4"
"PSICOLOGÍA DEL DESARROLLO INFANTIL","1"
"PSICOLOGÍA DEL PENSAMIENTO RELIGIOSO Y POLÍTICO","1"
"PSICOLOGÍA DEL TRABAJO","1"
